VINTAGE YEAR,POOLED RETURN,ARITHMETIC MEAN,MEDIAN,UPPER QUARTILE,LOWER QUARTILE,NUMBER OF FUNDS
1995,6.07,5.18,2.68,4.33,1.87,35
1996,5.07,4.64,2.26,4.61,1.38,39
1997,3.14,2.62,1.42,2.62,0.93,69
1998,1.50,1.59,0.98,1.57,0.62,79
1999,0.95,0.92,0.81,1.30,0.39,103
2000,1.05,1.03,0.91,1.43,0.60,151
2001,1.21,1.29,1.13,1.58,0.79,51
2002,0.96,1.13,0.92,1.45,0.70,31
2003,1.78,1.42,1.13,1.70,0.51,35
2004,1.69,1.72,1.20,1.82,0.82,63
2005,1.68,1.66,1.41,2.07,0.91,61
2006,1.69,1.56,1.59,1.95,0.75,78
2007,2.29,2.38,1.76,2.93,1.31,68
2008,1.77,1.71,1.40,2.21,1.09,64
2009,2.10,2.12,1.75,2.46,1.30,23
2010,3.21,2.80,2.12,3.41,1.41,48
2011,2.48,2.26,1.90,2.71,1.39,44
2012,2.21,2.48,1.73,2.37,1.35,55
2013,2.02,2.01,1.81,2.26,1.34,59
2014,1.74,1.76,1.56,2.11,1.35,83
2015,1.52,1.53,1.44,1.73,1.23,79
2016,1.44,1.40,1.25,1.59,1.14,75
2017,1.26,1.25,1.09,1.27,0.99,69
2018,1.03,0.97,0.96,1.03,0.88,80

